Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
1278	Modulation of resting state functional networks by continuous stimulation	Yul-Wan	Sung	Kansei Fukushi Res. Inst., Tohoku Fukushi Univ	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1280	A Unified Framework for Multimodal Structure—function Mapping Based on Eigenmodes	Samuel	Deslauriers-Gauthier	INRIA Sophia-Antipolis Méditerranée	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1281	Correlation of gait disturbance and cortical thickness for idiopathic normal-pressure hydrocephalus	YUN	EUN KYEONG	Daegu Catholic University	Modeling and Analysis Methods	Image Registration and Computational Anatomy
1282	VB_toolbox: A tool for investigating neural feature gradients in Python and MATLAB	Claude	Bajada	University of Malta	Modeling and Analysis Methods	Methods Development
1283	What make ones brain unique: how the brain correlate with demographics, environments and cognition	Qingqing	Yang	Tianjin Medical University	Modeling and Analysis Methods	Multivariate Approaches
1284	Changes of Network Connectivity Under Mindfulness Practices Among Novice Mindfulness Practitioners	Changwei	Wu	Taipei Medical University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1285	Is thresholding beneficial in longitudinal studies of structural brain networks?	Bruno Miguel	de Brito Robalo	University Medical Center Utrecht	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1286	Diverging Neural Processes Underlying Pain Expectation in Fibromyalgia vs. Healthy Subjects	Angelica	Sandström	Karolinska Institutet	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1287	Manifold learning reveals anomalies of language and memory processing in temporal lobe epilepsy	Sonja	Banjac	Laboratoire de Psychologie et NeuroCognition (LPNC)﻿	Modeling and Analysis Methods	Classification and Predictive Modeling
1288	Semantic segmentation of tissues in rat brain MR images using a Deep Learning convolutional network	Ricardo	Magalhães	Neurospin, CEA	Modeling and Analysis Methods	Segmentation and Parcellation
1289	A combined RS-EEG/RS-fMRI characterization of the Alzheimer continuum: a longitudinal study	Camilla	Cividini	IRCCS San Raffaele Scientific Institute	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1290	Quantifying the Uncertainty in Multi-Voxel Pattern Analysis	Jerome-Alexis	Chevalier	Inria Saclay Ile-de-France	Modeling and Analysis Methods	Multivariate Approaches
1291	Modelling EEG alpha power in eyes-open and eyes-closed states using DCM	Frederik	Van de Steen	Ghent university	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1292	Optimising network modelling methods for fMRI	Usama	Pervaiz	University of Oxford	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1293	Stepwise connectivity reveals the spreading of pathology in Parkinson’s disease	Silvia	Basaia	IRCCS San Raffaele Scientific Institute	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1294	Cortical thickness subtyping of Autism Spectrum Disorder (ASD) using Normative modeling	Mariam	Zabihi	Department of Cognitive Neuroscience, Radboud University Medical Center	Modeling and Analysis Methods	Classification and Predictive Modeling
1295	Automated Classification of Alzheimer’s Disease with Graph Neural Network	Jiyoung	Byun	KAIST	Modeling and Analysis Methods	Classification and Predictive Modeling
1296	Confound removal and normalization in practice: a neuroimaging based sex prediction case study	Shammi	More	Forschungszentrum Jülich	Modeling and Analysis Methods	Classification and Predictive Modeling
1297	A 3-minute individual multimodal brain network	František	Váša	King's College London	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1298	Fluid Intelligence Classification Based on Cortical WM/GM Contrast, Cortical Thickness and Volumetry	vandad	Imani	University of Eastern Finland	Modeling and Analysis Methods	Classification and Predictive Modeling
1299	Connectome harmonics track EEG network dynamics on a subsecond time scale	Katharina	Glomb	CHUV	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1301	Fast brain segmentation of out-of-the-scanner MR 7T volumes using deep learning	Michele	Svanera	University of Glasgow	Modeling and Analysis Methods	Segmentation and Parcellation
1302	Dissociating semantic processing from executive control are linked to mental time travel	Hao-Ting	Wang	University of Sussex	Modeling and Analysis Methods	Multivariate Approaches
1303	Interactive visualization of neural network relevance maps for assessing disease patterns in MRI	Martin	Dyrba	German Center for Neurodegenerative Diseases (DZNE)	Modeling and Analysis Methods	Multivariate Approaches
1304	Graph diffusion on the structural connectome to identify aligned and liberal fMRI activity	Maria Giulia	Preti	École Polytechnique Fédérale de Lausanne	Modeling and Analysis Methods	Methods Development
1305	Mapping of the human cerebral cortex using mRNA expression patterns	Matej	Murgaš	Medical University of Vienna, Department of Psychiatry and Psychotherapy	Modeling and Analysis Methods	Segmentation and Parcellation
1306	Hippocampal subfield volume estimations utilizing multispectral MR information within FreeSurfer	Rene	Seiger	Medical University of Vienna	Modeling and Analysis Methods	Segmentation and Parcellation
1307	On discovery of brain-phenotype relationships: detection, estimation, and prediction	Markus	Helmer	Yale University School of Medicine	Modeling and Analysis Methods	Multivariate Approaches
1308	Stress-evoked connectivity changes across time	Anne	Kühnel	Max Planck Institute of Psychiatry	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1309	Brain activity during task-based fMRI as predictor for antidepressant response to agomelatine	Sandi	Hebib	Heidelberg University	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1310	Factors influencing fMRI neurofeedback learning — a machine learning mega-analysis	Amelie	Haugg	University of Zurich	Modeling and Analysis Methods	Classification and Predictive Modeling
1311	Latent Variable Modeling Enhances Individual Differences Analyses of Task Activation fMRI	Shelly	Cooper	Washington University in St. Louis	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1312	Local dynamics and network topology disrupted in HIV revealed by whole-brain computational modeling	Yuchuan	Zhuang	University of Rochester	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1313	Assessing the validity of EEG-based network measures of brain connectivity	Stefan	Haufe	Charité - Universitätsmedizin Berlin	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1314	Translating ENIGMA-Schizophrenia Big Data findings to the Individual: Regional Vulnerability Index	Meghann	Ryan	Maryland Psychiatric Research Center	Modeling and Analysis Methods	Multivariate Approaches
1316	Joint Embedding: A scalable framework for aligning and comparing individuals in a connectivity space	Karl-Heinz	Nenning	Medical University of Vienna	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1317	Probing the role of connectivity in structural covariance through a mouse model of disconnectivity	Yohan	Yee	University of Toronto	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1318	Are there morphological subgroups in MDD and how can we find them? Towards clustering in ENIGMA MDD	Lee	Jollans	Max planck institute of psychiatry	Modeling and Analysis Methods	Classification and Predictive Modeling
1319	Fully Automated Cortical Surface-based PET Pipeline that Provides Personalized Quantification Report	Seun	Jeon	McGill University	Modeling and Analysis Methods	PET Modeling and Analysis
1320	Voxel Size, Shape, and Uncertainty in Volumetric Segmentation	Gabriel	Devenyi	Douglas University Mental Health Institute, McGill University	Modeling and Analysis Methods	Image Registration and Computational Anatomy
1321	Comparing Predicting Power of Three Brain Age Gap Estimation Pipelines in Major Depression Disorder	Amanda	Watts	Brain Imaging and Analysis Center, Duke University	Modeling and Analysis Methods	Classification and Predictive Modeling
1322	A STATIS approach to linking brain and behaviour during naturalistic music listening	Sarah	Faber	Baycrest Health Sciences Centre	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1324	Validating multi-echo fMRI analysis methods across a range of acquisitions	Ramya	Varadarajan	National Institute of Mental Health	Modeling and Analysis Methods	Methods Development
1325	Improving deconvolution of fMRI signal with Sparse Paradigm Free Mapping using stability selection	Eneko	Uruñuela	Basque Center on Cognition, Brain and Language	Modeling and Analysis Methods	Methods Development
1326	Automated hippocampal unfolding for quantitative mapping, morphometry, and subfield definition	Jordan	DeKraker	University of Western Ontario	Modeling and Analysis Methods	Segmentation and Parcellation
1327	Changes in Functional Network Redundancy During Human Lifespan	Muhammad Usman	Sadiq	UNC Chapel Hill	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1328	Connectomic Analysis of SNc and VTA Projections to the Striatum and Cortex	Nicholas	Handfield-Jones	Western University	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1329	Reproducible high risk functional connectivity endophenotype for subset of ASD	Sebastian	Urchs	Montreal Neurological Institute and Hospital	Modeling and Analysis Methods	Classification and Predictive Modeling
1330	Gastric-brain coupling predominates in primary and association sensory-motor regions	Ignacio	Rebollo	Dife	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1332	Investigating hippocampal-cortical functional connectivity using static and dynamic measures	Raihaan	Patel	McGill University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1334	Effects of interictal epileptiform discharges on electrocorticographic functional connectivity	Jennifer	Stiso	University of Pennsylvania	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1336	Effects of early surgical menopause on sleep, memory, and medial temporal lobe structure at midlife	Nicole	Gervais	University of Toronto	Modeling and Analysis Methods	Segmentation and Parcellation
1337	Automated Segmentation of Cerebral Microbleeds and Iron Deposits using Deep Learning	Tanweer	Rashid	University of Pennsylvania	Modeling and Analysis Methods	Classification and Predictive Modeling
1338	Machine Learning Modeling for the Prediction of Stop Signal Reaction Time in the ABCD study	Dekang	Yuan	University of Vermont	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1339	Removal of low-rank global signals in fMRI improves connectome-based prediction of individual traits	Kangjoo	Lee	Yale University	Modeling and Analysis Methods	Motion Correction and Preprocessing
1340	Confounder: A BIDS app for assessing the influence of experimental confounds in task-based GLM model	Suzanne	Witt	University of Western Ontario	Modeling and Analysis Methods	Methods Development
1341	Fuzzy: An Ecosystem for Evaluating the Stability of Pipelines Through Monte Carlo Arithmetic	Gregory	Kiar	McGill University	Modeling and Analysis Methods	Methods Development
1342	Discovery of Image-Level Multi-Dimensional Patterns of Population Variability in Brain	Weikang	Gong	Centre for Functional MRI of the Brain (FMRIB)	Modeling and Analysis Methods	Methods Development
1343	Brain Network Connectivity Architecture of Ego Dissolution under LSD	Adeel	Razi	Monash University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1344	A machine-learning method for the clinical study of the white matter fascicles in epileptic patients	Elise	ROGER	Université Grenoble Alpes	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1345	Neuroplastic effects of SSRIs evaluated with learning tasks and fMRI	Murray	Reed	Medical University of Vienna	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1346	Personalized Circuit Modeling Captures Individual Variation in Functional Dynamics of Human Cortex	Rachel	Cooper	Yale University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1347	Resting State Functional Connectivity in Binge Drinkers with and without Marijuana Use	Tien	Tong	University of Iowa	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1348	Long time-scale organization of spontaneous brain activity as measured by resting-state fMRI	Annie	Zheng	Washington University	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1349	Is rest really the best baseline for task-based fMRI studies?	Suzanne	Witt	University of Western Ontario	Modeling and Analysis Methods	Univariate Modeling
1350	A benchmark on data augmentation schemes for fMRI data	Hugo	Richard	Inria	Modeling and Analysis Methods	Classification and Predictive Modeling
1351	A Wavelet Noise Reduction Method for Improving Machine Learning Detection of Pediatric Epilepsy	Emmett	Kennady	McGovern Medical School at UTHealth	Modeling and Analysis Methods	Motion Correction and Preprocessing
1352	Benchmarking CPU vs GPU training of deep artificial neural networks for decoding brain activity	Yu	Zhang	University de Montreal / CRIUGM	Modeling and Analysis Methods	Classification and Predictive Modeling
1353	Impact of commonly used acquisition sequences on automated hippocampal subfield volume estimates	Aurelie	Bussy	Douglas Mental Health University Institute	Modeling and Analysis Methods	Image Registration and Computational Anatomy
1354	Automatic Detection of Brain MRI Segmentation Errors Using Generative Adversarial Networks	Irene	Brusini	KTH Royal Institute of Technology	Modeling and Analysis Methods	Segmentation and Parcellation
1355	Predicting Individual Face-selective Topography Using Naturalistic Stimuli	Jiahui	Guo	Dartmouth College	Modeling and Analysis Methods	Multivariate Approaches
1356	Dynamic functional connectivity during a cannabis cue-reactivity video in heavy cannabis users	Enrique	Chiu-Han	Universidad Nacional Autonoma de Mexico	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1357	Cohesive parcellation of rsfMRI using constrained hierarchical clustering	Ajay	Nemani	Cleveland Clinic	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1358	Individually unique functional organization in human frontoparietal cortex	Geetika	Gupta	University of Western Ontario	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1359	Effect of free water correction in grey and white matter in cART treated HIV patients	Abrar	Faiyaz	University of Rochester	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1360	LSD attenuates the macroscale functional hierarchy of the brain	Manesh	Girn	McGill University	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1361	Learnt dynamics generalizes across tasks, datasets, and populations	Md Mahfuzur	Rahman	Georgia State University	Modeling and Analysis Methods	Classification and Predictive Modeling
1362	Driving with distraction: brain activity and oculomotor behaviour using fMRI and eye-tracking	Nicole	Yuen	University of Toronto	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1363	Improved Specificity of Functional Mapping of Thalamocortical Connections at Ultra High Field	Mark	Lowe	The Cleveland Clinic	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1364	A novel robust network community identification method for structural connectome analysis	Juan Luis	Villarreal Haro	CIMAT	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1365	The contribution of physiologic fluctuation to dynamic switching large scale brain network	Wanyong	Shin	Cleveland Clinic Founcatoin	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1367	Signal routing via cortical hierarchies	Bertha	Vázquez-Rodríguez	McGill University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1368	Exploring ComBat For Multi-site Diffusion Magnetic Resonance Imaging Data Harmonization	Suheyla	Cetin-Karayumak	Brigham and Women's Hospital and Harvard Medical School	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1369	Motion matters: An analysis of motion bias correction in diffusion MRI	Joshua	Robinson	Kennedy Krieger Institute	Modeling and Analysis Methods	Motion Correction and Preprocessing
1370	Default brain networks of individual humans exhibit fine-grained subnetwork structure	Evan	Gordon	VA VISN17 Center of Excellence	Higher Cognitive Functions	fMRI Connectivity and Network Modeling
1371	Canonical correlation analysis of a functional connectivity normative model in ASD.	Tristan	Looden	Donders Institute	Modeling and Analysis Methods	Multivariate Approaches
1372	Genetic networks related to neural auditory paired stimulus response in psychosis: A B-SNIP study	Shashwath	Meda	Hartford Hospital/IOL	Modeling and Analysis Methods	Multivariate Approaches
1373	Differentiating of Cortical Neuronal Encoding Direction of Wrist Movements using fMRI and fNIRS	Maziar	Jalalvandi	Kermanshah University of Medical Sciences	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1374	Aberrant Functional Connectivity Across Brain Networks in Temporal Lobe Epilepsy	Anita	Sinha	University of Wisconsin-Madison	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1375	Hierarchical Network Models for Population Studies of Functional Connectivity	James	Wilson	University of San Francisco	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1376	Functional Connectivity during Frustration is Predictive of Individual Differences in Irritability	Wan-Ling	Tseng	Yale Child Study Center, School of Medicine, Yale University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1377	Effects of structural connectivity for the whole-brain resting-state dynamical models	Kyesam	Jung	Forschungszentrum Jülich	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1378	Sensory Structural Connectivity in Deaf Individuals	Emma	Campbell	University of Montreal	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1379	Core and Matrix Thalamic Sub-Populations Delineate Spatiotemporal Gradients in the Resting Brain	Brandon	Munn	University of Sydney	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1380	Machine learning algorithm for the diagnosis of behavioural variant frontotemporal dementia	Ana	Manera	Brain Imaging Centre, Montreal Neurological Insitute, McGill University	Modeling and Analysis Methods	Classification and Predictive Modeling
1381	Deep Learning reconstruction of respiratory variation signals from fMRI data	Jorge	Salas	Vanderbilt University	Modeling and Analysis Methods	Classification and Predictive Modeling
1382	Does functional alignment improve inter-subject decoding ?	Thomas	Bazeille	INRIA-Saclay	Modeling and Analysis Methods	Multivariate Approaches
1383	Assortative mixing of non-topological attributes in brain networks	Vincent	Bazinet	McGill University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1384	Streamlined Magnetic Resonance Fingerprinting:Whole-brain coverage with deep learning reconstruction	Mahdi	Khajehim	University of Toronto	Modeling and Analysis Methods	Methods Development
1385	Cognitive state annotation of human brain dynamics using deep graph convolution	Yu	Zhang	University de Montreal / CRIUGM	Modeling and Analysis Methods	Classification and Predictive Modeling
1386	Differences in Unimodal Sensory Processing vs. Cross-Sensory Processing via Time-Frequency Analysis	David	Dcroz-Baron	Texas Tech University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1387	Relating Shortest Path, Greedy Routing, and Diffusion Theories of DTI Networks to FMRI Activation	Josh	Neudorf	University of Saskatchewan	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1388	Multiscale neighborhoods in brain networks	Vincent	Bazinet	McGill University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1389	Characterization of structural networks supporting different aspects of amygdalar communication	Melanie	Matyi	University of Delaware	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1390	In-phase tACS modulates neural activity, but does not improve response inhibition in older adults	Jane	Tan	Murdoch University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1391	Representation of task FMRI using tools from graph signal processing	Ying-Qiu	Zheng	University of Oxford	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1392	Predicting Longitudinal Atrophy in Parkinson’s Disease using Agent-Based Model	Alaa	Abdelgawad	McGill University	Modeling and Analysis Methods	Classification and Predictive Modeling
1393	Over-Integration of the Brain Reward System with the Visual Cortex as a Biomarker for Relapse in AUD	Angela Martina	MUELLER	University of California San Francisco	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1394	Controlling for Effects of Confounding Variables on Machine Learning Predictions	Richard	Dinga	Donders Institute for Brain Cognition and Behaviour	Modeling and Analysis Methods	Classification and Predictive Modeling
1395	Artefact Reduction in Simultaneous EEG-fMRI: A systematic review of methods and contemporary usage	Madeleine	Bullock	Florey Institute of Neuroscience and Mental Health	Modeling and Analysis Methods	Motion Correction and Preprocessing
1396	High-Resolution 7T-fMRI of Human Hippocampal Subfields During Threat Generalization	Ashley	Huggins	University of Wisconsin-Milwaukee	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1397	Cognitive information differentiates between connectivity and activity across the cortical hierarchy	Takuya	Ito	Rutgers University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1398	OpenNFT: open-source Python/Matlab framework for real-time fMRI neurofeedback and quality assessment	Yury	Koush	Yale University	Modeling and Analysis Methods	Methods Development
1399	Dynamic functional network connectivity reveals transient segregation increase in severe stroke	Anna	Bonkhoff	Massachusetts General Hospital, Harvard Medical School, Boston	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1400	Diffuse coupling mediates complex network dynamics via the formation of quasi-critical brain states	Eli	Muller	University of Sydney	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1401	Individual Differences in Mental Imagery Modulates Effective Connectivity of Scene Regions at Rest	Maria Giulia	Tullo	Università La Sapienza	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1402	Recursive quality assessment and real-time head motion detection of real-time fMRI using OpenNFT	Yury	Koush	Yale University	Modeling and Analysis Methods	Methods Development
1403	Automatic Placement of Anatomical Fiducials using Regression Forests and 3-Dimensional Features	Daniel	Cao	Western University	Modeling and Analysis Methods	Classification and Predictive Modeling
1404	Quantitative Evaluations of Geometric Distortion Corrections in Surface-Based Analysis of 7T fMRI	Tetsuya	Yamamoto	National Institute for Physiological Sciences	Modeling and Analysis Methods	Image Registration and Computational Anatomy
1405	GROUP-PATCH BASED CLASSIFICATION FOR PREDICTING IMBALANCED NEURON SPIKES	Mingli	Zhang	MNI, Mcgill University	Modeling and Analysis Methods	Methods Development
1406	Stick Stippling for Direct 3D Visualization of Diffusion MRI Fiber Orientations and Density	Ryan	Cabeen	USC LONI	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1407	Brain disorder diagnosis by fusing multi-modal brain measures using deep learning	Yuhui	Du	Shanxi University	Modeling and Analysis Methods	Classification and Predictive Modeling
1408	Evolutionary Parameter Optimization for Resting-state Functional Connectivity Model	Kaitlin	Maile	University of Texas at Austin	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1409	Movie fMRI reveals reproducible and subject-specific dynamic states of brain parcellation	Amal	Boukhdhir	CRIUGM/Udem	Modeling and Analysis Methods	Segmentation and Parcellation
1410	White Matter Tract Abnormalities in Sport-Related Concussion: An Image Based Meta-Analysis	Sarah	Hellewell	University of Sydney	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1411	Brain Structure-Function Relationships via Spectral Factorization and the Transfer Function	James	Henderson	The University of Sydney	Modeling and Analysis Methods	Methods Development
1412	Pre-operative epileptic network architecture constrains surgery-induced connectome reorganization	Sara	Lariviere	McGill University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1413	Examining the association between fMRI brain entropy features and behavioral measures	SHENGCHAO	ZHANG	Vanderbilt University	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1414	Transfer Learning: Leveraging Big Data for Prediction in Clinical (Stuttering) Datasets	Saige	Rutherford	University of Michigan	Modeling and Analysis Methods	Classification and Predictive Modeling
1415	Test-retest reliability of functional connectivity at resting-state and naturalistic movie viewing	Xing	Qian	Duke-National University of Singapore Medical School	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1416	Effective Connectivity of Frontostriatal Systems in First-Episode Psychosis	Kristina	Sabaroedin	Turner Institute for Brain and Mental Health, Monash University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1417	Childhood maltreatment is associated with widespread functional dysconnectivity in adolescents	Divyangana	Rakesh	University of Melbourne	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1418	Data driven approach to dynamic resting state functional connectivity in those at risk for PTSD	Carissa	Weis	University of Wisconsin Milwaukee	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1419	Localizing Uni-directional Neural Pathways by MRI: A Theoretical Exploration	Yi-An	Chen	Institute of Medical Device and Imaging, National Taiwan University, College of Medicine	Modeling and Analysis Methods	Methods Development
1420	A multivariate approach to analyze connectivity matrices with individual-specific parcellation	Ju-Chi	Yu	The University of Texas at Dallas	Modeling and Analysis Methods	Methods Development
1422	Body Mass index (BMI) and Structural Brain Connectivity in the Human Connectome Project Dataset	Yueh En	Wang	Montreal Neurological Institute and Hospital	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1423	The Development of Predictive Coding in Young Children: A Magnetoencephalography Study	Hannah	Rapaport	Macquarie University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1424	Incorporating quantitative EEG analysis into the MNI Open Science neuroinformatics ecosystem	Christine	Rogers	Montreal Neurological Institute, McGill University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1425	Spatially focused, dynamic fMRI graph signal processing to unravel novel relationships to behaviour	Thomas	Bolton	Ecole Polytechnique Fédérale de Lausanne	Modeling and Analysis Methods	Methods Development
1426	Dynamic functional network connectivity at rest and its behavioral correlates in response inhibition	Hyejin	Kang	Seoul National University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1427	An Integration of Edge-centric Functional Network Approaches with Whole-brain Predictive Modeling	Anita	Shankar	The Ohio State University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1428	Assessing variability in template-based fMRI prediction of vigilance fluctuations	Sarah	Goodale	Vanderbilt University	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1429	Dynamic Brain Network Based on EEG Microstate During Sensory Gating in Schizophrenia	Jicong	Zhang	School of Biological Science and Medical Engineering, Beihang University, Beijing, China	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1430	Predict functional connectivity from structural connectivity with artificial neural network	Junji	Ma	Sun Yat-sen University	Modeling and Analysis Methods	Classification and Predictive Modeling
1431	Machine Learning Based Classification of Temporal Lobe Epilepsy with the Neuropsychological Tests	Kan	Deng	School of Biomedical Engineering, Health Science Center, Shenzhen University	Modeling and Analysis Methods	Classification and Predictive Modeling
1432	In Transient Spectral Peak Analysis Brain Functions Exhibit Distinct Profiles Disrupted by Disease	Robyn	Miller	Tri-Institutional Center for Translational Research in Neuroimaging and data Science (TReNDS)	Modeling and Analysis Methods	Methods Development
1433	Functional Connectome Fingerprinting Using a Simple Feedforward Neural Network	Thomas	Liu	UCSD Center for Functional MRI	Modeling and Analysis Methods	Classification and Predictive Modeling
1434	Age-Related Alterations in Alpha-Peak Parameters, 1/f Neuronal Noise and Their Relation to Cognition	Elena	Cesnaite	Max Planck Institute for Human Cognitive and Brain Sciences	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1435	ALE and the problem of identifying subject-specific networks: Graph theoretic characterization	Dimitri	Falco	Florida Atlantic University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1436	Dynamic network coding of working-memory domains.	Eyal	Soreq	Imperial College London	Modeling and Analysis Methods	Classification and Predictive Modeling
1437	Variation in the strength of cortical areal boundaries relates to human cognition	Ye	Tian	University of Melbourne	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1438	Diagnostic Prediction for Major Depressive Disorder via MVPA of Cerebellum GMV Features	Hanxiaoran	Li	Center for Cognition and Brain Disorders, Hangzhou Normal University	Modeling and Analysis Methods	Classification and Predictive Modeling
1439	THC exposure and differential microstructure of the cerebral cortex and amygdala in young adults	Ryan	Cabeen	USC LONI	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1440	Detecting task events in fMRI time series based on the topological structure of visibility graphs	Adrian	Onicas	IMT School for Advanced Studies Lucca	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1442	Bipartite connectivity mapping (BCM)	Gabriele	Lohmann	University Hospital Tuebingen	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1443	Assessment of Magnetoencephalography Source Estimation Algorithms	Shen	Luo	Peking university	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1444	Non-invasive quantification of inflammation, axonal and myelin injury in MS using DBSI	Simona	Schiavi	University of Verona	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1445	Cerebello-thalamo-cortical tract profiles after thalamotomy in patients with disabling tremors.	romain	VIARD	Inserm U1171 / CHRU Lille / Univesité Lille Nord De France	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1446	Whole-brain estimation of directed connectivity from fMRI data	Stefan	Frässle	Translational Neuromodeling Unit, University of Zurich & ETH Zurich	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1447	Network structure of the mouse brain connectome with voxel resolution	Marco	Pagani	Istituto Italiano di Tecnologia	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1448	Spontaneous EEG dynamics form transient states of simultaneity establishing large-scale networks	Martin	Seeber	University of Geneva	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1449	1D navigators reduce cervical spinal cord area mis-estimation in multi-echo GRE scans	Daniel	Papp	Wellcome Centre for Integrative Neuroimaging, FMRIB	Modeling and Analysis Methods	Methods Development
1450	Associations of symptom improvement with white matter microstructure in ADHD	Anne	Leenders	Donders Institute for Brain, Cognition and Behaviour	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
